age_struct,bedrooms,BLD_label,gross_rent,num_persons,move_in,HHT_label
5,2,50 or more apartments,2503,2,1,Nonfamily household: Male householder: Not living alone
5,2,50 or more apartments,2503,2,1,Nonfamily household: Male householder: Not living alone
23,3,3-4 Apartments,2542,1,7,Nonfamily household: Female householder: Living alone
8,1,50 or more apartments,1824,2,1,Nonfamily household: Female householder: Not living alone
8,1,50 or more apartments,1824,2,1,Nonfamily household: Female householder: Not living alone
53,1,10-19 Apartments,260,1,15,Nonfamily household: Male householder: Living alone
53,0,5-9 Apartments,2090,1,15,Nonfamily household: Female householder: Living alone
63,3,3-4 Apartments,2840,3,3,Nonfamily household: Female householder: Not living alone
63,3,3-4 Apartments,2840,3,3,Nonfamily household: Female householder: Not living alone
63,3,3-4 Apartments,2840,3,3,Nonfamily household: Female householder: Not living alone
63,2,3-4 Apartments,1040,1,3,Nonfamily household: Female householder: Living alone
43,1,3-4 Apartments,1950,2,1,Nonfamily household: Female householder: Not living alone
43,1,3-4 Apartments,1950,2,1,Nonfamily household: Female householder: Not living alone
43,2,3-4 Apartments,980,2,15,Married couple household
43,2,3-4 Apartments,980,2,15,Married couple household
33,2,2 Apartments,550,3,2,Nonfamily household: Male householder: Not living alone
33,2,2 Apartments,550,3,2,Nonfamily household: Male householder: Not living alone
33,2,2 Apartments,550,3,2,Nonfamily household: Male householder: Not living alone
6,2,3-4 Apartments,1770,2,1,Married couple household
6,2,3-4 Apartments,1770,2,1,Married couple household
63,3,2 Apartments,1978,4,7,Married couple household
63,3,2 Apartments,1978,4,7,Married couple household
63,3,2 Apartments,1978,4,7,Married couple household
63,3,2 Apartments,1978,4,7,Married couple household
100,2,2 Apartments,1637,2,15,"Other family household: Female householder, no spouse present"
100,2,2 Apartments,1637,2,15,"Other family household: Female householder, no spouse present"
53,2,10-19 Apartments,1230,1,15,Nonfamily household: Male householder: Living alone
43,1,20-49 Apartments,680,1,15,Nonfamily household: Female householder: Living alone
63,1,5-9 Apartments,870,1,2,Nonfamily household: Male householder: Living alone
100,1,5-9 Apartments,750,1,3,Nonfamily household: Male householder: Living alone
23,2,20-49 Apartments,450,3,7,"Other family household: Female householder, no spouse present"
23,2,20-49 Apartments,450,3,7,"Other family household: Female householder, no spouse present"
23,2,20-49 Apartments,450,3,7,"Other family household: Female householder, no spouse present"
100,1,10-19 Apartments,680,1,7,Nonfamily household: Male householder: Living alone
73,0,50 or more apartments,400,1,2,Nonfamily household: Female householder: Living alone
33,2,One-family house detached,1120,2,7,Married couple household
33,2,One-family house detached,1120,2,7,Married couple household
5,1,50 or more apartments,3291,1,1,Nonfamily household: Female householder: Living alone
43,2,One-family house detached,1320,1,15,Nonfamily household: Female householder: Living alone
100,2,3-4 Apartments,1000,2,2,"Other family household: Male householder, no spouse present"
100,2,3-4 Apartments,1000,2,2,"Other family household: Male householder, no spouse present"
43,1,50 or more apartments,950,1,30,Nonfamily household: Female householder: Living alone
43,2,3-4 Apartments,1342,2,7,"Other family household: Female householder, no spouse present"
43,2,3-4 Apartments,1342,2,7,"Other family household: Female householder, no spouse present"
63,1,20-49 Apartments,1530,1,1,Nonfamily household: Female householder: Living alone
43,2,2 Apartments,3600,2,1,Nonfamily household: Male householder: Not living alone
43,2,2 Apartments,3600,2,1,Nonfamily household: Male householder: Not living alone
23,1,50 or more apartments,2180,1,1,Nonfamily household: Female householder: Living alone
23,1,50 or more apartments,390,2,25,Married couple household
23,1,50 or more apartments,390,2,25,Married couple household
6,0,20-49 Apartments,2100,1,1,Nonfamily household: Female householder: Living alone
23,3,10-19 Apartments,1230,3,1,Nonfamily household: Female householder: Not living alone
23,3,10-19 Apartments,1230,3,1,Nonfamily household: Female householder: Not living alone
23,3,10-19 Apartments,1230,3,1,Nonfamily household: Female householder: Not living alone
63,4,3-4 Apartments,570,1,15,Nonfamily household: Male householder: Living alone
100,3,One-family house detached,730,2,3,"Other family household: Male householder, no spouse present"
100,3,One-family house detached,730,2,3,"Other family household: Male householder, no spouse present"
43,3,3-4 Apartments,830,4,3,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,830,4,3,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,830,4,3,Nonfamily household: Female householder: Not living alone
43,3,3-4 Apartments,830,4,3,Nonfamily household: Female householder: Not living alone
100,2,3-4 Apartments,1700,5,3,Married couple household
100,2,3-4 Apartments,1700,5,3,Married couple household
100,2,3-4 Apartments,1700,5,3,Married couple household
100,2,3-4 Apartments,1700,5,3,Married couple household
100,2,3-4 Apartments,1700,5,3,Married couple household
100,3,One-family house detached,1960,4,7,Married couple household
